epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.8101087212562561,0.8791850805282593,0.4386834502220154,0.8009091019630432,0.9075074195861816,0.43466365337371826
1,0.8545652031898499,0.9176188707351685,0.3591645061969757,0.7890909314155579,0.9195091128349304,0.46606263518333435
2,0.8605434894561768,0.9206230640411377,0.35708752274513245,0.8218181729316711,0.9257900714874268,0.40111809968948364
3,0.8677173852920532,0.9299685955047607,0.3297211527824402,0.8127272725105286,0.9279289245605469,0.4290792644023895
4,0.8727173805236816,0.9320047497749329,0.3236374855041504,0.8172727227210999,0.9310628175735474,0.4148240089416504
5,0.8756521940231323,0.9353091716766357,0.3159632086753845,0.7927272915840149,0.9358247518539429,0.4754786789417267
6,0.8802173733711243,0.9385426044464111,0.304932564496994,0.8299999833106995,0.9356363415718079,0.39774376153945923
7,0.883152186870575,0.9386200904846191,0.3034456670284271,0.8136363625526428,0.9374710321426392,0.4311356842517853
8,0.8868478536605835,0.9401189684867859,0.29846465587615967,0.8127272725105286,0.9371190071105957,0.43616268038749695
9,0.8828260898590088,0.9414770603179932,0.29547956585884094,0.8299999833106995,0.9357950687408447,0.385173499584198
10,0.8867391347885132,0.944233775138855,0.2846353352069855,0.8109090924263,0.9397107362747192,0.4439178705215454
11,0.8872826099395752,0.9430881142616272,0.2912565767765045,0.8027272820472717,0.9384562969207764,0.4654442071914673
12,0.8942391276359558,0.9483479261398315,0.2764602303504944,0.8218181729316711,0.9405404925346375,0.40903010964393616
13,0.8903260827064514,0.9466774463653564,0.2774045467376709,0.7845454812049866,0.937052845954895,0.49937859177589417
14,0.8932608962059021,0.9472531676292419,0.27712613344192505,0.8381817936897278,0.9404991865158081,0.37674570083618164
15,0.8931521773338318,0.9487054944038391,0.2708512246608734,0.8054545521736145,0.9416727423667908,0.4522596299648285
16,0.8930434584617615,0.9466536045074463,0.27659299969673157,0.7954545617103577,0.9419124126434326,0.45776045322418213
17,0.8923913240432739,0.9477201700210571,0.27359724044799805,0.8245454430580139,0.9427487254142761,0.3965362012386322
18,0.8942391276359558,0.948494553565979,0.27290230989456177,0.8299999833106995,0.9431653022766113,0.393804132938385
19,0.8970652222633362,0.9511361718177795,0.2649354934692383,0.8190909028053284,0.9422264695167542,0.41333669424057007
